smiles,iron_reactive
CCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,1
c1cc(ccc1OC[C@@H]2CCC[N@@]2CCCC(=O)[O-])Oc3ccc(cc3)Cl,1
c1ccc2c(c1)c(c[nH]2)C[C@H](C(=O)Nc3ccncc3)NC(=O)c4ccc(cc4F)N5CCN(CC5)c6ccc(c(c6)F)F,1
c1ccc2c(c1)c(c[nH]2)C[C@H](C(=O)Nc3ccncc3)NC(=O)c4ccc(cc4F)N5CCN(CC5)c6ccc(cc6)C(F)(F)F,1
C1=C(C(=O)NC=C1Br)O,1
CC#CCOc1ccc(cc1)S(=O)(=O)[N@]2CC[C@@H](C2)S,1
COc1cccc(c1)C2=NC(=O)C(=CC2)O,1
c1cc(cc(c1)C2=CNC(=O)C(=C2)O)C#N,1
C[N@@](CCCOc1ccc(cc1)Cc2ccccc2)CCC(=O)O,1
c1cc(ccc1C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)NCc2cnc3c(n2)C(=O)NC(=N3)N,1
c1cc(ccc1C(F)(F)F)Oc2ccc(cc2)S(=O)(=O)C3(CCOCC3)C(=O)NO,1
c1cc(ccc1C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)O)C(=O)O)C(=O)O)C(=O)O)NCc2cnc3c(n2)C(=O)NC(=N3)N,1
CN(C)c1cccc2c1cccc2S(=O)(=O)NCCO[P@@](=O)(O)O[P@@](=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=CC(=NC4=O)N)O)O,1
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)OP(=O)(O)O)N,1
C[C@H]([C]O)[C@@H](C(=O)(=O)O)N,1
CCCn1cnc2c1CC[C@@](C2)(CCCN)C(=O)O,1
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@H]4[C@H](O3)CO[P@](=O)(O[C@@H]5[C@@H](CO[P@](=O)(O4)O)O[C@H]([C@@H]5O)n6cnc7c6ncnc7N)O)O)N,1
CC(C)C[C@H]([C@@H](C(=O)NO)O)C(=O)N[C@H](C(=O)N(C)C)C(C)(C)C,1
[B-](\C=C\CC[C@@H](C(=O)O)N)(O)(O)O,1
c1cc2c(cc1OS(=O)(=O)N)S(=O)(=O)C(=C2)CC3CCCCCC3,1
CC(=CCC/C(=C/CC/C(=C(\CO[P@@](=O)(O)OP(=O)(O)O)/F)/C)/C)C,1
C([C@@H](C(=O)O)N)SOO,1
C[C@H]([C@@](C)(C(=O)N=O)NC(=O)c1ccc(cc1)C#CC#Cc2ccc(cc2)N)O,1
C1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O,1
CC[C@@H](C)[C@@H](C(=O)N[C@@H](COP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O)C(=O)O)NC(=O)c1ccc(cc1)F,1
CC(C)[C@@H](C(=O)N[C@@H](COP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O)C(=O)O)NC(=O)c1ccc(cc1)F,1
C([C@H]([C@@H]([C@H](C(=O)COP(=O)(O)O)O)O)O)OP(=O)(O)O,1
C(CC(=O)N[C@@H](COP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O)C(=O)O)[C@@H](C(=O)O)N,1
c1ccc(cc1)CCCCOP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O,1
c1ccc(cc1)C(=O)N[C@@H](COP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O)C(=O)O,1
c1ccc(cc1)c2ccc(cc2)COP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O,1
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)OP(=O)(O)O)N=C(NC2=O)N,1
c1ccc(cc1)C(=O)NCCOP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O,1
c1ccc(cc1)C2=CN(C(=O)NC2=O)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O[C@@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,1
c1ccc(cc1)C(=O)N[C@H](COP(=O)(N[C@@H](CCC(=O)O)C(=O)O)O)C(=O)O,1
C(CC(=O)O)[C@H](C(=O)O)O,1
C1[C@@H](NC2=C(N1)N=C(NC2=O)N)C(=O)O,1
C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(NP(=O)(O)OP(=O)(O)O)O)O)O,1
CN/C(=N/C)/NCCC[C@@H](C(=O)O)N,1
Cc1[nH]ccn1,1
CN(CCOc1ccc(cc1)c2ccc(cc2)C#N)C(=O)NO,1
c1ccc(cc1)[C@]2(OC[C@@H]3[C@H](O2)C[C@@H](O3)N4C=C(C(=O)NC4=O)/C=C/P(=O)(O)O)P(=O)(O)O,1
C([C@H](C(=O)O)OP(=O)(O)O)O,1
N(P(=O)(O)O)P(=O)(O)O,1
Cc1cc(ccc1OC)[C@]2(C3=NCC(CN3C(=N2)N)(F)F)c4ccc(c(c4)c5cccnc5)F,1
c1cc(ccc1[C@@H](C(=O)O)NC(=O)N[C@@H](CCCCNC(=O)c2ccc(cc2)I)C(=O)O)O,1
c1cc(ccc1C(=O)NCCCC[C@@H](C(=O)O)NC(=O)N[C@@H](Cc2ccncc2)C(=O)O)I,1
c1cc(oc1)C[C@@H](C(=O)O)NC(=O)N[C@@H](CCCCNC(=O)c2ccc(cc2)I)C(=O)O,1
C#CC[C@@H](C(=O)O)NC(=O)N[C@@H](CCCCNC(=O)c1ccc(cc1)I)C(=O)O,1
c1cc(ccc1C(=O)NCCCC[C@@H](C(=O)O)NC(=O)NC2(CC2)C(=O)O)I,1
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N[C@@H](CC(=O)O)C(=O)O,1
CS[C@@H]1[C@H]([C@H]([C@H]([C@H]1O)O)O)NCc2ccccc2,1
CN1CCN(CC1)Cc2ccc(cn2)C#Cc3ccc(cc3)c4cc(cnc4n5cnc6c5cccc6)C(=O)NO,1
Cc1c(sc[n+]1Cc2cnc(nc2NO)C)CCO[P@](=O)(O)OP(=O)(O)O,1
Cc1ncc(n1CCNS(=O)(=O)N)[N+](=O)[O-],1
CC1=CC(=S)N(C=C1)O,1
Cc1cc(ccc1F)S(=O)(=O)N(Cc2ccccc2)[C@H](C)C(=O)NO,1
Cc1cc(ccc1F)S(=O)(=O)N(Cc2cccnc2)[C@H](C)C(=O)NO,1
Cc1cc(ccc1F)S(=O)(=O)N(Cc2ccc(cc2)[N+](=O)[O-])[C@H](C)C(=O)NO,1
Cc1cc(ccc1F)S(=O)(=O)N(Cc2cccc(c2)N)[C@H](C)C(=O)NO,1
Cc1cc(ccc1F)S(=O)(=O)N(Cc2ccc(cc2)CN)[C@H](C)C(=O)NO,1
CCCCCCCCOCCOCCOCCOCCOCCOCCO,1
C([C@H]1[C@@H]([C@@H]([C@H](O1)O)O)O)O,1
c1cc(ccc1n2ccnc2)Oc3nccc(n3)Oc4ccc5c(c4)OCO5,1
c1cc(ccc1n2ccnc2)O[C@H]3CCC[N@@](C3)Cc4ccc5c(c4)OCO5,1
[H]/N=C(/N)\Nc1cccc(c1)[C@@H](C(=O)O)O[P@](=O)([C@H](C(C)C)NC(=O)[C@H](Cc2ccc(cc2)O)NC(=O)OCc3ccccc3)O,1
c1cc(c(cc1[C@H](CCN(C=O)O)P(=O)(O)O)Cl)Cl,1
c1cc(ccc1C[C@H](C(=O)O)O)O,1
C1[C@@H]([C@@H]([C@@](O1)(CO)O)O)O,1
c1c(cc(c(c1O)O)Cl)Cl,1
c1cc(ccc1C(=O)Nc2ccc(c(c2)c3cc(ccn3)C(=O)O)O)O,1
c1ccc(cc1)c2cccc(c2)c3ccc[n+](c3)CC(O)(P(=O)(O)O)P(=O)(O)O,1
c1cc(ccc1c2c[nH]cn2)Br,1
[B-](CCCC[C@@](C1C[C@H]2CC[C@@H](C1)N2Cc3ccc(c(c3)Cl)Cl)(C(=O)O)N)(O)(O)O,1
c1cc(c(c(c1)O)[N+](=O)[O-])O,1
c1cnc(nc1)c2ccc(cc2)N3CCN(CC3)C(=O)CN4CC[C@H](C4)C(=O)Nc5ccc6c(c5)c([nH]n6)c7ccncc7,1
Cc1cc(nc(n1)Oc2ccc(cc2)n3ccnc3)Oc4ccc5c(c4)OCO5,1
c1ccn2c(c1)ncc2CC(F)(P(=O)(O)O)P(=O)(O)O,1
C[C@H](C[P@](=O)([C@H](Cc1ccccc1)NC(=O)Cc2ccccc2)O)C(=O)NC(CCCCN)C(=O)N[C@H](CO)C(=O)O,1
CCCCC(C(=O)O)NC(=O)C1CCCN1C(=O)CC[P@](=O)([C@H](Cc2ccccc2)NC(=O)[C@@H]3CCCN3C(=O)CN)O,1
CC(=CCC[N@](C)CCO[P@](=O)([O-])OP(=O)([O-])[O-])C,1
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O)N,1
c1nc(c2c(n1)n(cn2)[C@H]3[C@@H](C[C@H](O3)CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O)N,1
C[N@](Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@H](CC[P@](=O)(C[C@@H](CCC(=O)O)C(=O)O)O)C(=O)O,1
CC1(CC(CC(N1O)(C)C)NC(=S)Nc2ccc(cc2Cl)S(=O)(=O)N)C,1
c1cc(ccc1Oc2ccc(cc2)Cl)SCC3(CCOCC3)C(=O)NO,1
c1cc(ccc1CN2CCOCC2)C#Cc3ccc(cc3)OCC4(CCOCC4)C(=O)NO,1
C1[C@H](N2[C@@H](S1)CS[C@@H]2CS)C(=O)O,1
CCCC(CCC)C(=O)N[C@@H]1Cc2ccc(cc2C1)S(=O)(=O)N,1
c1cc(c(c(c1)Cl)O)O,1
CCCC1=CC(=O)NC(=S)N1,1
c1nc(c2c(n1)n(cn2)[C@H]3C[C@@H]([C@H](O3)CO)O)N,1
C[C@@H](CC/C=C(\C)/CCC=C(C)C)CCOP(=O)(O)OP(=O)(O)O,1
c1ccc(cc1)C[C@@H](CC(=O)O)N,1
C1=CN(C(=S)C(=C1)C(F)(F)F)O,1
C(CC(=O)N[C@@H](CS)C(=O)O)[C@@H](C(=O)O)N,1
c1nc2c(n1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)(O)O)O)N=C(NC2=O)N,1
c1cc(c(c(c1)O)N)C(=O)O,1
CC(=C)C1=C(C(=O)C=CC=C1)O,1
C1CN(C[C@@H]1OS(=O)(=O)N)S(=O)(=O)[C@H]2[C@H]([C@H]([C@@H](C(O2)CO)O)O)O,1
C(CC(=O)O)[C@@H](C(=O)O)NS(=O)(=O)N,1
c1cc(ccc1c2[nH]nnn2)C3=NC=C(C(=O)N3)O,1
COCCN1CCC(CC1)(C(=O)N=O)S(=O)(=O)c2ccc(cc2)Oc3ccc(cc3)OC(F)(F)F,1
c1nc2c(n1CCN(CCOCP(=O)(O)O)/C=C/P(=O)(O)O)N=C(NC2=O)N,1
c1nc2c(n1CCN(CCO/C=C/P(=O)(O)O)CCP(=O)(O)O)N=CNC2=O,1
C[C@@H]([C@@H](C[C@H](C(=O)O)O)O)O,1
CCCCCCCC(=O)CC(=O)N[C@H]1CCOC1=O,1
CO[C@@H]([C@@H]([C@@H](CO)O)O)C(=O)CO,1
CC1=CC=CN(C1=S)O,1
c1cnn(c1)c2ccc(cc2)[C@H](C(=O)NO)NC(=O)c3ccc(cc3)N,1
CC(=O)N[C@@H](Cc1ccc(cc1)O)C(=O)O,1
C[C@]12CC[C@@H](C[C@@H]1/C(=N/O)/C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4c5cccnc5)C)O,1
C[C@]12CC[C@@H](CC1=C(C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4c5cccnc5)C)C#N)O,1
C[C@]12CC[C@@H](CC1=C(C[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4c5cccnc5)C)C(=O)N)O,1
CC(C)(C)OC(=O)NCCCCOc1ccc(cc1)S(=O)(=O)N,1
COCCN1CCC(CC1)(C(=O)NO)S(=O)(=O)c2ccc(cc2)OCCCn3nc(nn3)c4ccc(cc4)OC(F)(F)F,1
c1cc(ccc1OCCCCN)S(=O)(=O)N,1
B1(c2ccc(cc2CO1)Oc3ccc(c(c3)C#N)C#N)O,1
C[C@H]([C@@H](C(=O)NO)NC(=O)c1ccc(cc1)C#CC#Cc2ccccc2)O,1
CCCCCC(=O)OC[C@H](CCP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC,1
C([C@H](C(=O)O)O)OP(=O)(O)O,1
C(CP(=O)(O)O)C(=O)O,1
C[C@]1(C(=O)NC(=O)N1)CNC(=O)COc2ccc(cc2)Cl,1
c1cc2c(cc1Cl)cc(o2)C(=O)NC[C@@]3(C(=O)NC(=O)N3)c4nccs4,1
Cn1ccnc1[C@]2(C(=O)NC(=O)N2)CNC(=O)c3cc4cc(ccc4o3)Cl,1
c1nc2c(n1CCN(CCN(CCP(=O)(O)O)CC=O)CCP(=O)(O)O)N=C(NC2=O)N,1
c1nc2c(n1CCN(CCN(CCP(=O)(O)O)CCP(=O)(O)O)CCP(=O)(O)O)NC=NC2=O,1
Cc1ccnc(c1)N2C(=O)c3c(c(sc3N=C2S)C)C,1
c1ccc(cc1)Cc2ccncc2,1
c1cc2c(cc1n3cc(nn3)CO[C@H]4[C@@H]([C@H]([C@@H]([C@@H](O4)CO)O)O)O)S(=O)(=O)NC2=O,1
C1[C@@H](N2[C@H](S1)CS[C@H]2CS)C(=O)O,1
CO/N=C(/c1ccco1)\C(=O)N[C@@H]([C@@H]2N=C([C@H](CS2)COC(=O)N)C(=O)O)C(=O)O,1
C[C@@H]1CS[C@@H](N=C1C(=O)O)[C@@H](C(=O)O)NC(=O)[C@@H](c2ccccc2)[NH3+],1
c1cc(ccc1c2c[nH]cn2)F,1
c1ccc(cc1)n2cc(nn2)CN(Cc3cn(nn3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)c5nnc(s5)S(=O)(=O)N,1
c1ccc(cc1)C(CC(=O)Cn2ccnc2)c3ccccc3,1
CCCSc1c(c(c(c(c1F)F)S(=O)(=O)N)F)F,1
c1cc(ccc1SCCO)S(=O)(=O)N,1
C1CCN(CC1)c2c(c(c(c(c2F)F)S(=O)(=O)N)F)F,1
C=CCOc1ccc(cc1)S(=O)(=O)N,1
CCCOc1ccc(cc1)S(=O)(=O)N,1
CCOc1ccc(cc1)S(=O)(=O)N,1
c1ccc(cc1)C2=CC(=O)c3c(cc(c(c3O)O)O)O2,1
C1CCC(C1)CCC(=O)NO,1
Cc1cccnc1NC(P(=O)(O)O)P(=O)(O)O,1
C[C@H]([C@@H](C(=O)NS(=O)(=O)c1cccc(c1)c2ccc3c(c2)ncnc3N)N)O,1
CC(C)NC(=O)C(=O)O,1
Cc1cc(ccc1F)S(=O)(=O)N(CC(C)C)[C@H](C(C)C)C(=O)NO,1
CC(C)NC[C@H](COc1ccc(cc1)C(=O)NCCc2ccc(cc2)S(=O)(=O)N)O,1
c1c2c(cc(c1Cl)Cl)nc([nH]2)C(=O)NCC(=O)O,1
c1ccc(cc1)c2cccc(c2)N3C=CC(=O)C(=C3)O,1
B(C1=CN(C=C(C1=O)O)c2cccc(c2)c3ccccc3)(O)O,1
CN1C(=NC=C(C1=O)O)c2cccc(c2)c3ccccc3,1
C[C+](CO)[C@@H](COP(=O)(O)OP(=O)(O)O)O,1
CC#CCOc1ccc(cc1)S(=O)(=O)CCCS,1
c1c(c(cc(c1Cl)Cl)O)O,1
c1ccc(cc1)CCNS(=O)(=O)c2cc(ccc2C(=O)O)S(=O)(=O)N,1
CCCCc1ccc[n+](c1)CC(P(=O)(O)O)P(=O)(O)O,1
Cc1ccc(cc1)[C@@H](CC(=O)N(C)O)CP(=O)(O)O,1
C(CC(=O)O)[C@@H]([C@H](C(=O)O)O)C(=O)O,1
c1cc(c(c(c1C(=O)O)N)O)Cl,1
c1ccc(cc1)COc2ccc(cc2)NC(=O)CC[C@@H](C(=O)O)N,1
Cc1ccc(cc1)OCC[P@H](=O)[O-],1
c1ccc(cc1)[C@@H](COc2ccc(cc2)NC(=O)CC[C@@H](C(=O)O)N)O,1
c1cc(c(cc1Cl)O)O,1
c1cc(cc(c1)F)CCCNCCc2ccnc(n2)n3ccnc3,1
C1=CN(C(=S)C=C1C(F)(F)F)O,1
